"city","county","state","population","total_penjualan","penjualan_per_kapita"
"Wesley","Kossuth","Iowa",604,"2808049.6000000173","4649.088741721883"
"Pleasant Valley","Scott","Iowa",103,"448786.95000000007","4357.154854368932"
"Clear Lake","Cerro Gordo","Iowa",9374,"40438829.50000457","4313.935299765795"
"Mason City","Cerro Gordo","Iowa",28957,"124100044.94999643","4285.666503781345"
"Keokuk","Lee","Iowa",12577,"53682731.85000645","4268.325661923071"
"Algona","Kossuth","Iowa",6767,"28143133.29999997","4158.878868036053"
"Carroll","Carroll","Iowa",12164,"50324225.00000395","4137.144442617885"
"Toledo","Tama","Iowa",3436,"14145532.250000138","4116.860375436594"
"Sioux City","Woodbury","Iowa",26474,"107629608.74998917","4065.4834460221036"
"West Des Moines","Polk","Iowa",32532,"130372185.55000839","4007.506011004807"
"Davenport","Scott","Iowa",27648,"110209946.15000105","3986.1815013744595"
"Sheldon","O'Brien","Iowa",5845,"22934082.900000267","3923.7096492729283"
"Earling","Shelby","Iowa",651,"2546822.0500000175","3912.1690476190747"
"Altoona","Polk","Iowa",19840,"76575637.59999603","3859.6591532256066"
"Urbandale","Polk","Iowa",31118,"117223438.14999673","3767.062091072586"
"Washington","Washington","Iowa",9488,"35643614.500003695","3756.704732293813"
"Melcher Dallas","Marion","Iowa",701,"2632814.10000001","3755.797574893024"
"Larchwood","Lyon","Iowa",1835,"6824082.000000009","3718.8457765667627"
"Dubuque","Dubuque","Iowa",17170,"63517013.90000123","3699.301916132861"
"Davenport","Scott","Iowa",1191,"4377193.050000024","3675.2250629723126"
"Denison","Crawford","Iowa",9633,"34389970.850002214","3570.0166978098428"
"Iowa Falls","Hardin","Iowa",6470,"23076468.749999657","3566.687596599638"
"Atlantic","Cass","Iowa",8350,"29449195.85000039","3526.849802395256"
"Lake View","Sac","Iowa",1486,"5112569.399999946","3440.4908479138267"
"Sioux City","Woodbury","Iowa",3166,"10840397.14999999","3424.0041535059977"
"Bettendorf","Scott","Iowa",37476,"127529318.7999954","3402.9597288930354"
"Spencer","Clay","Iowa",12232,"41566767.50000409","3398.1987818839184"
"Emmetsburg","Palo Alto","Iowa",4447,"15060420.800000107","3386.647357769307"
"Storm Lake","Buena Vista","Iowa",12572,"42514343.15000643","3381.6690383396776"
"Humboldt","Humboldt","Iowa",5557,"18706275.9999995","3366.254453841911"
"Cedar Falls","Black Hawk","Iowa",43717,"147020109.1499955","3362.996297778793"
"Waverly","Bremer","Iowa",12526,"41537898.25000464","3316.1343006550087"
"Fort Dodge","Webster","Iowa",28077,"92828650.29999441","3306.2168429673543"
"Shenandoah","Page","Iowa",5684,"18681673.899999987","3286.7125087966197"
"Harlan","Shelby","Iowa",6716,"21655930.949999586","3224.528134306073"
"Grimes","Polk","Iowa",14472,"45970322.25000501","3176.5009846603793"
"Ida Grove","Ida","Iowa",2693,"8437270.200000118","3133.0375789083246"
"Le Mars","Plymouth","Iowa",12026,"36626475.70000183","3045.607492100601"
"Sioux City","Woodbury","Iowa",10531,"32030021.100000843","3041.4985376508257"
"Mapleton","Monona","Iowa",1757,"5314651.04999996","3024.844080819556"
"Sac City","Sac","Iowa",2628,"7873490.349999789","2996.000894216054"
"Holstein","Ida","Iowa",1924,"5744004.500000017","2985.4493243243332"
"Creston","Union","Iowa",9383,"27196025.95000028","2898.4361025258745"
"Oelwein","Fayette","Iowa",6669,"19012965.699999463","2850.9470235416798"
"Davenport","Scott","Iowa",10562,"30048794.149998102","2844.990925014022"
"Des Moines","Polk","Iowa",8040,"22828170.749998473","2839.324720149064"
"Dubuque","Dubuque","Iowa",43328,"121710916.0500059","2809.0591776681567"
"Montezuma","Poweshiek","Iowa",2468,"6879844.499999994","2787.6193273905974"
"Waukon","Allamakee","Iowa",6128,"17028425.199999657","2778.790013054774"
"Jefferson","Greene","Iowa",5024,"13798946.64999987","2746.6056230095282"
"Red Oak","Montgomery","Iowa",6380,"17475043.199999735","2739.0349843259773"
"Centerville","Appanoose","Iowa",7309,"19798974.599999767","2708.848624982866"
"Des Moines","Polk","Iowa",37983,"102883373.74999495","2708.66897691059"
"Cedar Rapids","Linn","Iowa",40279,"108843169.64999284","2702.2311787778453"
"Osceola","Clarke","Iowa",6953,"18761475.599999562","2698.328146123912"
"Swisher","Johnson","Iowa",3489,"9391721.750000058","2691.8090427056627"
"West Bend","Palo Alto","Iowa",1052,"2830171.4499999983","2690.2770437262343"
"Waukee","Dallas","Iowa",25402,"68246131.89999808","2686.6440398393074"
"Cresco","Howard","Iowa",5722,"15331350.399999876","2679.3691716182934"
"Muscatine","Muscatine","Iowa",30263,"80419471.89999908","2657.352935928331"
